id,name,normalised_name,density
1315,red miso paste,red miso paste,1.098957
1316,heirloom tomato,heirloom tomato,0.760816
1317,chopped sorrel,chopped sorrel,0.147936
1318,torn iceberg lettuce,torn iceberg lettuce,0.084535
1319,grated vegan cheddar,grated vegan cheddar,0.422676
1320,grenadine syrup,grenadine syrup,1.479365
1321,snipped chive,snipped chive,0.147936
1322,kale leaf,kale leaf,0.126803
1323,egg yolk,egg yolk,1.310295
1324,grape tomato,grape tomato,0.760816
1325,chopped white cabbage,chopped white cabbage,0.295873
1326,spelt flake,spelt flake,0.380408
1327,goat milk,goat milk,1.014422
1328,mixed wild rice,mixed wild rice,0.845351
1329,sweetened chestnut puree,sweetened chestnut puree,1.268027
1330,thyme leaves,thyme leaves,0.147936
1331,grated berkswell cheese,grated berkswell cheese,0.422676
1332,chopped chinese mushroom,chopped chinese mushroom,0.147936
1333,leek top,leek top,0.380408
1334,baby kale,baby kale,0.126803
1335,cauliflower leaf,cauliflower leaf,0.126803
1336,black quinoa,black quinoa,0.803084
1337,fine oatmeal,fine oatmeal,0.380408
1338,lard,lard,0.908753
1339,chopped smoked almond,chopped smoked almond,0.549478
1340,grated parmigiano-reggiano,grated parmigiano-reggiano,0.359274
1341,durum wheat semolina flour,durum wheat semolina flour,0.739682
1342,chopped gruyere,chopped gruyere,0.422676
1343,sliced feta,sliced feta,0.549478
1344,grated green chilli,grated green chilli,0.541025
1345,kaymak,kaymak,1.014422
1346,chilli garlic condiment,chilli garlic condiment,1.056689
1347,atta flour,atta flour,0.549478
1348,agave,agave,1.310295
1349,milo chocolate malt drink,milo chocolate malt drink,0.401542
1350,vegan thousand island dressing,vegan thousand island dressing,1.014422
1351,shredded chinese leaf,shredded chinese leaf,0.295873
1352,chinese chilli crisp,chinese chilli crisp,1.056689
1353,tomato and chilli pasta sauce,tomato and chilli pasta sauce,1.056689
1354,shredded gem lettuce,shredded gem lettuce,0.295873
1355,semola,semola,0.739682
1356,hazelnut butter,hazelnut butter,1.056689
1357,crumbled tofu,crumbled tofu,0.697415
1358,garlic mayonnaise,garlic mayonnaise,1.014422
1359,shredded iceberg lettuce,shredded iceberg lettuce,0.295873
1360,dried date,dried date,0.697415
1361,millet grain,millet grain,0.845351
1362,halved black grape,halved black grape,0.655147
1363,chopped dried sour plum,chopped dried sour plum,0.697415
1364,black garlic paste,black garlic paste,0.541025
1365,mozzarella ball,mozzarella ball,1.014422
1366,spiced apple butter,spiced apple butter,1.268027
1367,chopped stilton,chopped stilton,0.549478
1368,grated hard sheep cheese,grated hard sheep cheese,0.359274
1369,dried coconut slice,dried coconut slice,0.211338
1370,grated monterey jack cheese,grated monterey jack cheese,0.422676
1371,brown sushi rice,brown sushi rice,0.845351
1372,soya bean paste,soya bean paste,1.098957
1373,roasted flaked almond,roasted flaked almond,0.422676
1374,chopped oat,chopped oat,0.380408
1375,minced lemongrass,minced lemongrass,0.486077
1376,broken walnut,broken walnut,0.422676
1377,fine bulgur,fine bulgur,0.845351
1378,chestnut spread,chestnut spread,1.056689
1379,light spelt flour,light spelt flour,0.549478
1380,oat cream,oat cream,1.014422
1381,pickled mustard green,pickled mustard green,0.760816
1382,cooking chocolate,cooking chocolate,0.676281
1383,wild sea kale,wild sea kale,0.126803
1384,pistachio cream,pistachio cream,1.014422
1385,morello cherry jam,morello cherry jam,1.268027
1386,brine,brine,1.014422
1387,diced quince paste,diced quince paste,0.634014
1388,shelled broad bean,shelled broad bean,0.634014
1389,black split urad dal,black split urad dal,0.845351
1390,self-raising white flour,self-raising white flour,0.528345
1391,minced tofu,minced tofu,0.697415
1392,chopped red cabbage,chopped red cabbage,0.295873
1393,yellow split mung lentil,yellow split mung lentil,0.845351
1394,spicy chilli oil,spicy chilli oil,0.908753
1395,poaching syrup,poaching syrup,1.479365
1396,blackcurrant jelly,blackcurrant jelly,1.268027
1397,carrot strip,carrot strip,0.549478
1398,tomato and pepper paste,tomato and pepper paste,1.098957
1399,wholegrain rye flour,wholegrain rye flour,0.549478
1400,chopped digestive biscuit,chopped digestive biscuit,0.253605
1401,rocket leaf,rocket leaf,0.084535
1402,steel-cut oat,steel-cut oat,0.380408
1403,peanut flour,peanut flour,0.528345
1404,double plant cream,double plant cream,1.014422
1405,crumbled cheese,crumbled cheese,0.422676
1406,vanilla yoghurt,vanilla yoghurt,1.014422
1407,hot chilli sauce,hot chilli sauce,1.056689
1408,julienned radish,julienned radish,0.486077
1409,chopped parsley stem,chopped parsley stem,0.147936
1410,green thai curry paste,green thai curry paste,1.098957
1411,seeded mustard,seeded mustard,1.014422
1412,chopped chilli peanut,chopped chilli peanut,0.549478
1413,sliced chive,sliced chive,0.147936
1414,sliced cauliflower,sliced cauliflower,0.464943
1415,frozen fruit,frozen fruit,0.570612
1416,stoned date,stoned date,0.634014
1417,bean sprout,bean sprout,0.317007
1418,torn radicchio,torn radicchio,0.084535
1419,leftover cooking syrup,leftover cooking syrup,1.479365
1420,plain chocolate,plain chocolate,0.676281
1421,new potato,new potato,0.591746
1422,crisp-fried onion,crisp-fried onion,0.317007
1423,sliced thai basil,sliced thai basil,0.147936
1424,nduja paste,nduja paste,1.098957
1425,sliced broccoli,sliced broccoli,0.549478
1426,pitted olive,pitted olive,0.528345
1427,crisp chilli oil,crisp chilli oil,0.908753
1428,mexican queso fresco,mexican queso fresco,0.549478
1429,oat single cream,oat single cream,1.014422
1430,sliced dill pickle,sliced dill pickle,0.612880
1431,amaranth,amaranth,0.845351
1432,sesame seed oil,sesame seed oil,0.908753
1433,torn basil leaf,torn basil leaf,0.063401
1434,plant-based whipping cream,plant-based whipping cream,1.014422
1435,cooked orzo,cooked orzo,0.845351
1436,mirepoix kimchi,mirepoix kimchi,0.760816
1437,grated cassava,grated cassava,0.634014
1438,chopped preserved radish,chopped preserved radish,0.760816
1439,thai basil and coriander,thai basil and coriander,0.063401
1440,chopped fig,chopped fig,0.634014
1441,chopped marzipan,chopped marzipan,1.056689
1442,torn mint,torn mint,0.147936
1443,wholewheat instant couscous,wholewheat instant couscous,0.845351
1444,chopped mixed fruit,chopped mixed fruit,0.634014
1445,parmesan rind,parmesan rind,0.359274
1446,green olive tapenade,green olive tapenade,1.014422
1447,crumbled feta cheese,crumbled feta cheese,0.549478
1448,chopped cabbage kimchi,chopped cabbage kimchi,0.760816
1449,sour cherry jam,sour cherry jam,1.268027
1450,soft curd cheese,soft curd cheese,1.014422
1451,mixed frozen berry,mixed frozen berry,0.570612
1452,shiitake mushroom,shiitake mushroom,0.147936
1453,thai white rice flour,thai white rice flour,0.612880
1454,cane sugar,cane sugar,0.845351
1455,dried mulberry,dried mulberry,0.612880
1456,walnut half,walnut half,0.422676
1457,chopped dried sausage,chopped dried sausage,0.549478
1458,minced turmeric,minced turmeric,0.541025
1459,rice powder,rice powder,0.612880
1460,shredded leek,shredded leek,0.380408
1461,delicata squash,delicata squash,0.634014
1462,massaman curry paste,massaman curry paste,1.098957
1463,grated lincolnshire poacher,grated lincolnshire poacher,0.422676
1464,roast garlic puree,roast garlic puree,0.549478
1465,fine-ground burghul,fine-ground burghul,0.845351
1466,horseradish cream,horseradish cream,1.014422
1467,chopped watercress leaf,chopped watercress leaf,0.147936
1468,oat or rice syrup,oat or rice syrup,1.479365
1469,grated teifi,grated teifi,0.422676
1470,shelled hemp seed,shelled hemp seed,0.634014
1471,crispy fried shallot,crispy fried shallot,0.317007
1472,choi sum,choi sum,0.126803
1473,celery seed,celery seed,0.634014
1474,strong wholegrain bread flour,strong wholegrain bread flour,0.528345
1475,masoor dal,masoor dal,0.845351
1476,candied orange,candied orange,1.268027
1477,red quinoa,red quinoa,0.845351
1478,smoked rapeseed oil,smoked rapeseed oil,0.908753
1479,sweetened chestnut paste,sweetened chestnut paste,1.056689
1480,sliced swede,sliced swede,0.549478
1481,garlicky confit oil,garlicky confit oil,0.908753
1482,purple kale,purple kale,0.126803
1483,radish leaf,radish leaf,0.084535
1484,fine cornmeal,fine cornmeal,0.739682
1485,millet flour,millet flour,0.612880
1486,lao gan ma crispy chilli in oil,lao gan ma crispy chilli in oil,0.908753
1487,crumbled lancashire,crumbled lancashire,0.422676
1488,dried apple,dried apple,0.634014
1489,hot water,hot water,0.997515
1490,micro green,micro green,0.105669
1491,quartered turnip,quartered turnip,0.634014
1492,butternut,butternut,0.634014
1493,roasted tomato puree,roasted tomato puree,1.098957
1494,blanched whole almond,blanched whole almond,0.634014
1495,diced date,diced date,0.697415
1496,celeriac matchstick,celeriac matchstick,0.634014
1497,green mung bean,green mung bean,0.803084
1498,ground cashew nut,ground cashew nut,0.507211
1499,toasted pumpkin seed,toasted pumpkin seed,0.634014
1500,thickened cream,thickened cream,1.014422
1501,shaved coconut,shaved coconut,0.211338
1502,blanched hazelnut,blanched hazelnut,0.549478
1503,light miso paste,light miso paste,1.098957
1504,chilli miso,chilli miso,1.098957
1505,sliced oyster mushroom,sliced oyster mushroom,0.317007
1506,pinhead oat,pinhead oat,0.380408
1507,pea in pod,pea in pod,0.612880
1508,gorgonzola,gorgonzola,0.422676
1509,shredded jackfruit,shredded jackfruit,0.295873
1510,dried rosemary,dried rosemary,0.063401
1511,tempura flour,tempura flour,0.612880
1512,chopped collard,chopped collard,0.169070
1513,hulled strawberry,hulled strawberry,0.634014
1514,coconut condensed milk,coconut condensed milk,1.310295
1515,chilli sediment and oil,chilli sediment and oil,0.908753
1516,large eggs,large eggs,1.014422
1517,chopped thai basil,chopped thai basil,0.147936
1518,shelled pecan,shelled pecan,0.549478
1519,sliced turmeric,sliced turmeric,0.541025
1520,chopped biscuit,chopped biscuit,0.253605
1521,mixed herb and green,mixed herb and green,0.126803
1522,chopped curly leaf lettuce,chopped curly leaf lettuce,0.169070
1523,sage leaf,sage leaf,0.063401
1524,crumbled walnut,crumbled walnut,0.549478
1525,mixed dried fruit and peel,mixed dried fruit and peel,0.634014
1526,cooked spinach,cooked spinach,0.169070
1527,roasted salted peanut,roasted salted peanut,0.634014
1528,sheep yoghurt,sheep yoghurt,1.014422
1529,julienned beetroot,julienned beetroot,0.380408
1530,shortening,shortening,0.908753
1531,pork lard,pork lard,0.908753
1532,sichuan roasted chilli oil,sichuan roasted chilli oil,0.908753
1533,orange syrup,orange syrup,1.479365
1534,soft brown caster sugar,soft brown caster sugar,0.845351
1535,fast-action instant yeast,fast-action instant yeast,0.211338
1536,ryazhanka,ryazhanka,1.056689
1537,drained sour cherry,drained sour cherry,0.612880
1538,cocoa chocolate chip,cocoa chocolate chip,0.676281
1539,chilli olive oil,chilli olive oil,0.908753
1540,oven-dried gooseberry,oven-dried gooseberry,0.612880
1541,chopped pickled sweet pepper,chopped pickled sweet pepper,0.528345
1542,crumbled sheep cheese,crumbled sheep cheese,0.549478
1543,goji berry,goji berry,0.612880
1544,red onion chutney,red onion chutney,1.268027
1545,grated fresh horseradish,grated fresh horseradish,0.541025
1546,chestnut paste,chestnut paste,1.056689
1547,chopped purple sprouting broccoli,chopped purple sprouting broccoli,0.126803
1548,short grain white rice,short grain white rice,0.845351
1549,plant-based double cream,plant-based double cream,1.014422
1550,kohlrabi top,kohlrabi top,0.169070
1551,herb leaf,herb leaf,0.147936
1552,maltose,maltose,1.479365
1553,smashed peanut,smashed peanut,0.549478
1554,chopped daikon,chopped daikon,0.570612
1555,self-raising wholemeal flour,self-raising wholemeal flour,0.549478
