id,name,normalised_name,density
238,chopped courgette,chopped courgette,0.507211
239,chopped galangal,chopped galangal,0.486077
240,chopped green olive,chopped green olive,0.528345
241,chopped prune,chopped prune,0.697415
242,chopped rocket,chopped rocket,0.126803
243,cottage cheese,cottage cheese,1.014422
244,cracked freekeh,cracked freekeh,0.845351
245,crispy shallot,crispy shallot,0.317007
246,dark chocolate,dark chocolate,0.676281
247,diced rhubarb,diced rhubarb,0.591746
248,english mustard,english mustard,1.014422
249,grated comte,grated comte,0.422676
250,pea shoot,pea shoot,0.105669
251,redcurrant jelly,redcurrant jelly,1.268027
252,sliced cabbage,sliced cabbage,0.295873
253,chopped turmeric,chopped turmeric,0.486077
254,chopped mixed herb,chopped mixed herb,0.147936
255,chopped rosemary,chopped rosemary,0.147936
256,chopped chard,chopped chard,0.169070
257,sliced sweet potato,sliced sweet potato,0.570612
258,quartered tomato,quartered tomato,0.760816
259,coarse polenta,coarse polenta,0.739682
260,potato flour,potato flour,0.549478
261,toor dal,toor dal,0.845351
262,dried shiitake mushroom,dried shiitake mushroom,0.147936
263,chopped macadamia nut,chopped macadamia nut,0.549478
264,chopped mixed nut,chopped mixed nut,0.549478
265,grated grana padano,grated grana padano,0.359274
266,crushed walnut,crushed walnut,0.549478
267,jam,jam,1.268027
268,ketchup,ketchup,1.056689
269,mint leaf,mint leaf,0.063401
270,split red lentil,split red lentil,0.845351
271,whole milk,whole milk,1.014422
272,crunchy peanut butter,crunchy peanut butter,1.056689
273,golden raisin,golden raisin,0.612880
274,mixed dried fruit,mixed dried fruit,0.634014
275,glutinous rice,glutinous rice,0.845351
276,paella rice,paella rice,0.845351
277,blanched almond,blanched almond,0.634014
278,diced beetroot,diced beetroot,0.549478
279,mango chutney,mango chutney,1.268027
280,shredded white cabbage,shredded white cabbage,0.295873
281,spinach leaf,spinach leaf,0.126803
282,brown long grain rice,brown long grain rice,0.781950
283,chopped coriander stem,chopped coriander stem,0.147936
284,polenta flour,polenta flour,0.739682
285,dried wild mushroom,dried wild mushroom,0.147936
286,porcini,porcini,0.147936
287,flaked coconut,flaked coconut,0.211338
288,grated caerphilly,grated caerphilly,0.422676
289,grated cheddar cheese,grated cheddar cheese,0.422676
290,ground peanut,ground peanut,0.507211
291,ground walnut,ground walnut,0.507211
292,strawberry jam,strawberry jam,1.268027
293,orange curd,orange curd,1.268027
294,rainbow chard,rainbow chard,0.126803
295,spring green,spring green,0.126803
296,mung dal,mung dal,0.845351
297,agave syrup,agave syrup,1.310295
298,oat milk,oat milk,1.014422
299,almond butter,almond butter,1.056689
300,barley,barley,0.845351
301,chopped dried fruit,chopped dried fruit,0.697415
302,dried currant,dried currant,0.612880
303,white rice flour,white rice flour,0.612880
304,seed,seed,0.634014
305,sushi rice,sushi rice,0.845351
306,sliced coriander,sliced coriander,0.147936
307,shredded green,shredded green,0.147936
308,shredded spring green,shredded spring green,0.147936
309,gluten-free plain flour,gluten-free plain flour,0.528345
310,white bread flour,white bread flour,0.528345
311,white rice,white rice,0.845351
312,bicarbonate of soda,bicarbonate of soda,0.507211
313,chopped butternut squash,chopped butternut squash,0.634014
314,crushed hazelnut,crushed hazelnut,0.549478
315,ginger paste,ginger paste,0.541025
316,grated chocolate,grated chocolate,0.507211
317,labne,labne,1.014422
318,shredded chinese cabbage,shredded chinese cabbage,0.295873
319,shredded spinach,shredded spinach,0.169070
320,sliced almond,sliced almond,0.422676
321,sliced spinach,sliced spinach,0.169070
322,sliced white cabbage,sliced white cabbage,0.295873
323,thai red curry paste,thai red curry paste,1.098957
324,chapati flour,chapati flour,0.549478
325,red rice,red rice,0.781950
326,light muscovado,light muscovado,0.781950
327,rapadura sugar,rapadura sugar,0.781950
328,cardamom sugar,cardamom sugar,0.845351
329,chopped turmeric root,chopped turmeric root,0.486077
330,chopped dried chilli,chopped dried chilli,0.147936
331,chopped swiss chard,chopped swiss chard,0.169070
332,diced waxy potato,diced waxy potato,0.634014
333,sliced new potato,sliced new potato,0.591746
334,sliced waxy potato,sliced waxy potato,0.634014
335,chopped green tomato,chopped green tomato,0.760816
336,diced cherry tomato,diced cherry tomato,0.760816
337,sliced beef tomato,sliced beef tomato,0.760816
338,quick cook polenta,quick cook polenta,0.739682
339,dried bean,dried bean,0.803084
340,dried fava bean,dried fava bean,0.803084
341,dried flageolet bean,dried flageolet bean,0.803084
342,dried kidney bean,dried kidney bean,0.803084
343,dried white bean,dried white bean,0.803084
344,dried porcini mushroom,dried porcini mushroom,0.147936
345,barberry,barberry,0.612880
346,chopped cashew nut,chopped cashew nut,0.549478
347,crushed flaked almond,crushed flaked almond,0.549478
348,flaked pistachio,flaked pistachio,0.422676
349,brown breadcrumb,brown breadcrumb,0.253605
350,grated paneer,grated paneer,0.422676
351,orange marmalade,orange marmalade,1.268027
352,passion fruit curd,passion fruit curd,1.268027
353,pizza sauce,pizza sauce,1.056689
354,sriracha,sriracha,1.056689
355,coriander leaf,coriander leaf,0.063401
356,baby leaf spinach,baby leaf spinach,0.126803
357,beetroot leaf,beetroot leaf,0.126803
358,beluga lentil,beluga lentil,0.845351
359,black lentil,black lentil,0.845351
360,dried green lentil,dried green lentil,0.845351
361,moong dal,moong dal,0.845351
362,urad dal,urad dal,0.845351
363,plant milk,plant milk,1.014422
364,nut butter,nut butter,1.056689
365,chilli oil,chilli oil,0.908753
366,neutral oil,neutral oil,0.908753
367,farro,farro,0.845351
368,dried blueberry,dried blueberry,0.612880
369,shredded coriander,shredded coriander,0.147936
370,shredded chard,shredded chard,0.147936
371,sliced chard,sliced chard,0.147936
372,sliced kale,sliced kale,0.147936
373,sliced spring green,sliced spring green,0.147936
374,sliced swiss chard,sliced swiss chard,0.147936
375,shredded thai basil,shredded thai basil,0.147936
376,sliced basil,sliced basil,0.147936
377,cake flour,cake flour,0.528345
378,chopped apricot,chopped apricot,0.697415
379,date,date,0.634014
380,diced courgette,diced courgette,0.507211
381,dried cep,dried cep,0.147936
382,fromage frais,fromage frais,1.014422
383,grated butternut squash,grated butternut squash,0.401542
384,grated pumpkin,grated pumpkin,0.401542
385,quark,quark,1.014422
386,roasted peanut,roasted peanut,0.634014
387,sliced butternut squash,sliced butternut squash,0.591746
388,sliced kimchi,sliced kimchi,0.760816
389,sliced red cabbage,sliced red cabbage,0.295873
390,split green pea,split green pea,0.845351
391,split yellow pea,split yellow pea,0.845351
392,sponge flour,sponge flour,0.528345
393,plain wholemeal flour,plain wholemeal flour,0.549478
394,strong wheat flour,strong wheat flour,0.549478
395,wholemeal plain flour,wholemeal plain flour,0.549478
396,granulated brown sugar,granulated brown sugar,0.781950
397,light brown caster sugar,light brown caster sugar,0.781950
398,light brown muscovado,light brown muscovado,0.781950
399,panela sugar,panela sugar,0.781950
400,unrefined caster sugar,unrefined caster sugar,0.845351
401,chopped chervil,chopped chervil,0.147936
402,chopped coriander leaf,chopped coriander leaf,0.169070
403,chopped coriander stalk,chopped coriander stalk,0.169070
404,chopped fennel top,chopped fennel top,0.147936
405,chopped makrut lime leaf,chopped makrut lime leaf,0.147936
406,chopped mint leaf,chopped mint leaf,0.147936
407,chopped parsley leaf,chopped parsley leaf,0.147936
408,chopped collard green,chopped collard green,0.169070
409,chopped mustard green,chopped mustard green,0.169070
410,chopped rainbow chard,chopped rainbow chard,0.169070
411,torn swiss chard,torn swiss chard,0.169070
412,chopped blanched almond,chopped blanched almond,0.549478
413,diced green olive,diced green olive,0.528345
414,chopped sweet potato,chopped sweet potato,0.591746
415,chunked potato,chunked potato,0.634014
416,diced baking potato,diced baking potato,0.634014
417,diced floury potato,diced floury potato,0.634014
418,diced new potato,diced new potato,0.634014
419,sliced pink fir potato,sliced pink fir potato,0.739682
420,chopped vine tomato,chopped vine tomato,0.760816
421,diced plum tomato,diced plum tomato,0.760816
422,quartered cherry tomato,quartered cherry tomato,0.760816
423,sliced cherry tomato,sliced cherry tomato,0.760816
424,sliced heirloom tomato,sliced heirloom tomato,0.760816
425,quick polenta,quick polenta,0.739682
426,dried black turtle bean,dried black turtle bean,0.803084
427,dried black-eyed bean,dried black-eyed bean,0.803084
428,dried borlotti bean,dried borlotti bean,0.803084
429,dried broad bean,dried broad bean,0.803084
430,dried butter bean,dried butter bean,0.803084
431,dried cannellini bean,dried cannellini bean,0.803084
432,dried haricot bean,dried haricot bean,0.803084
433,split fava bean,split fava bean,0.803084
434,panko,panko,0.359274
435,panko crumb,panko crumb,0.359274
436,channa dal,channa dal,0.845351
437,dried lentil,dried lentil,0.845351
438,yellow mung dal,yellow mung dal,0.845351
439,dried sliced wood ear mushroom,dried sliced wood ear mushroom,0.147936
440,sliced dried mushroom,sliced dried mushroom,0.147936
441,sliced porcini,sliced porcini,0.147936
442,chopped dried cranberry,chopped dried cranberry,0.697415
443,dried barberry,dried barberry,0.612880
444,chopped macadamia,chopped macadamia,0.549478
445,slivered pistachio,slivered pistachio,0.422676
446,coarse breadcrumb,coarse breadcrumb,0.253605
447,plain breadcrumb,plain breadcrumb,0.253605
448,sourdough breadcrumb,sourdough breadcrumb,0.253605
449,white breadcrumb,white breadcrumb,0.253605
450,preserving sugar,preserving sugar,0.845351
451,unrefined cane sugar,unrefined cane sugar,0.845351
452,red grape,red grape,0.655147
453,grated red cabbage,grated red cabbage,0.295873
454,grated white cabbage,grated white cabbage,0.295873
455,grated galangal,grated galangal,0.541025
456,grated caerphilly cheese,grated caerphilly cheese,0.422676
457,grated coolea,grated coolea,0.422676
458,grated fontina,grated fontina,0.422676
459,grated goat cheese,grated goat cheese,0.422676
460,grated kasseri cheese,grated kasseri cheese,0.422676
461,grated kefalotyri,grated kefalotyri,0.422676
462,grated lancashire cheese,grated lancashire cheese,0.422676
463,grated monterey jack,grated monterey jack,0.422676
464,grated queso anejo,grated queso anejo,0.422676
465,ground cashew,ground cashew,0.507211
466,golden icing sugar,golden icing sugar,0.570612
467,blackberry jam,blackberry jam,1.268027
468,blackcurrant jam,blackcurrant jam,1.268027
469,blueberry and whisky jam,blueberry and whisky jam,1.268027
470,guava jam,guava jam,1.268027
471,plum jam,plum jam,1.268027
472,quince jam,quince jam,1.268027
473,ube jam,ube jam,1.268027
474,banana ketchup,banana ketchup,1.056689
475,black bean sauce,black bean sauce,1.056689
476,tomato sauce,tomato sauce,1.056689
477,mixed herb,mixed herb,0.063401
478,thai basil,thai basil,0.063401
479,baby spinach leaf,baby spinach leaf,0.126803
480,chard leaf,chard leaf,0.126803
481,chard stem,chard stem,0.169070
482,curly kale,curly kale,0.126803
483,mixed leafy green,mixed leafy green,0.126803
484,mustard green,mustard green,0.126803
485,swiss chard,swiss chard,0.126803
486,winter green,winter green,0.126803
487,black urad dal,black urad dal,0.845351
488,dried brown lentil,dried brown lentil,0.845351
489,pardina lentil,pardina lentil,0.845351
490,split lentil,split lentil,0.845351
491,split urad lentil,split urad lentil,0.845351
492,aioli,aioli,1.014422
493,almond milk,almond milk,1.014422
494,plant-based milk,plant-based milk,1.014422
495,soy milk,soy milk,1.014422
496,soya milk,soya milk,1.014422
497,biscoff spread,biscoff spread,1.056689
498,pecan butter,pecan butter,1.056689
499,pistachio butter,pistachio butter,1.056689
500,smooth peanut butter,smooth peanut butter,1.056689
501,gluten-free oat,gluten-free oat,0.380408
502,extra-virgin olive oil,extra-virgin olive oil,0.908753
503,peanut oil,peanut oil,0.908753
504,sunflower oil,sunflower oil,0.908753
505,pearled farro,pearled farro,0.845351
506,chopped raisin,chopped raisin,0.612880
507,dried berry,dried berry,0.612880
508,dried gooseberry,dried gooseberry,0.612880
509,golden sultana,golden sultana,0.612880
510,white sesame seed,white sesame seed,0.591746
511,calasparra rice,calasparra rice,0.845351
512,wholegrain risotto rice,wholegrain risotto rice,0.845351
513,sliced mint,sliced mint,0.147936
514,shredded swiss chard,shredded swiss chard,0.147936
515,sliced green leaf,sliced green leaf,0.147936
516,sliced rainbow chard,sliced rainbow chard,0.147936
517,sliced black olive,sliced black olive,0.528345
518,sliced green olive,sliced green olive,0.528345
519,sliced olive,sliced olive,0.528345
520,cooked white bean,cooked white bean,0.781950
521,black strap molasses,black strap molasses,1.479365
522,gluten free flour,gluten free flour,0.528345
523,gluten free plain flour,gluten free plain flour,0.528345
524,gluten free self raising flour,gluten free self raising flour,0.528345
525,plain white stone ground flour,plain white stone ground flour,0.528345
526,strong plain flour,strong plain flour,0.528345
527,strong white plain flour,strong white plain flour,0.528345
528,black glutinous rice,black glutinous rice,0.803084
529,black venus rice,black venus rice,0.803084
530,brown rice flour,brown rice flour,0.612880
531,butternut squash,butternut squash,0.634014
532,camargue red rice,camargue red rice,0.781950
533,chia seed,chia seed,0.591746
534,chopped mixed dried fruit,chopped mixed dried fruit,0.697415
535,coarse cornmeal,coarse cornmeal,0.739682
536,cooked chestnut,cooked chestnut,0.760816
537,crumbled chestnut,crumbled chestnut,0.612880
538,crumbled queso fresco,crumbled queso fresco,0.549478
539,crumbled white cheese,crumbled white cheese,0.549478
540,crushed cashew,crushed cashew,0.549478
541,crushed ginger,crushed ginger,0.541025
542,green split pea,green split pea,0.845351
543,ground semolina flour,ground semolina flour,0.739682
544,long grain brown rice,long grain brown rice,0.781950
545,malted brown flour,malted brown flour,0.549478
546,mashed chickpea,mashed chickpea,0.676281
547,mixed salad leaf,mixed salad leaf,0.084535
548,plain spelt flour,plain spelt flour,0.549478
549,quartered grape,quartered grape,0.697415
550,raw peanut,raw peanut,0.634014
551,red miso,red miso,1.098957
552,salted peanut,salted peanut,0.634014
553,salted roasted peanut,salted roasted peanut,0.634014
554,shaved cabbage,shaved cabbage,0.295873
555,shredded ginger,shredded ginger,0.486077
556,shredded hispi cabbage,shredded hispi cabbage,0.295873
557,shredded kimchi,shredded kimchi,0.760816
558,shredded leek top,shredded leek top,0.380408
559,shredded rocket,shredded rocket,0.126803
560,shredded savoy cabbage,shredded savoy cabbage,0.295873
561,sliced chestnut,sliced chestnut,0.634014
562,sliced grape,sliced grape,0.697415
563,sliced leek green,sliced leek green,0.380408
564,sliced sweetheart cabbage,sliced sweetheart cabbage,0.295873
565,sliced watercress,sliced watercress,0.147936
566,soft dried date,soft dried date,0.634014
567,soft goat cheese,soft goat cheese,0.845351
568,soya yoghurt,soya yoghurt,1.014422
569,split pea,split pea,0.845351
570,teff flour,teff flour,0.549478
571,tzatziki,tzatziki,1.014422
572,vegan mayonnaise,vegan mayonnaise,1.014422
573,vegan soft cheese,vegan soft cheese,1.014422
574,vegan whipping cream,vegan whipping cream,1.014422
575,vegan yoghurt,vegan yoghurt,1.014422
576,wholegrain mustard,wholegrain mustard,1.014422
577,wholegrain spelt flour,wholegrain spelt flour,0.549478
578,wild rocket,wild rocket,0.084535
579,caster sugar,caster sugar,0.845351
580,olive oil,olive oil,0.908753
